,Unnamed: 0,label,text
84,518,negative,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.
85,4351,neutral,.@SouthwestAir she needs a wheelchair at the gate for sure. What options does she have?
86,10801,negative,"@usairways yep, sent my bag to Philadelphia instead of Miami...I caught it...then was told my flight changed to tomorrow, wrong again #fail"
87,3672,neutral,@united I just sent a long note with some suggestions. Thanks for getting back to me.
88,1458,negative,@united - Going on 3 days (tomorrow) and I still haven't received my bag from my flight to Toronto. Would love to see some seriousness here.
89,14533,negative,@AmericanAir Trying to find out if flight #340 DFW to HOU is on tonight. Exec platinum desk not calling back and online info not clear.
90,3901,negative,@United ticket counter Masters out of SMF not very helpful.
91,7369,positive,@JetBlue thanks for help. Can't wait to travel with! And get out of the snow.
92,3345,negative,@united As it always is. Helps to communicate to customers.
93,6073,neutral,"@SouthwestAir Any chance the flight I just took can count for #3? I mean, I signed up with SW wifi in the air! 2/2"
94,3522,neutral,@united @UnitedFlyerHD @United_Airline N26902 Dreamliner leaves London Heathrow. @B787fans http://t.co/aI0Yzwt8Za
95,6517,negative,@SouthwestAir my pts expired. I made a prchase @ an online retailer to b told by SW that those won't show for 6-8 wks so too L8 2 keepmy pts
96,6402,negative,@SouthwestAir my sister and her family had to drive 1200 miles because you did not accommodate a rebook in a timely manner! HORRIBLE
97,7900,positive,"@JetBlue 162, SMF to JFK!"
98,13974,negative,"@AmericanAir ""We'll drop off your luggage 24 hours after your flight"" is ridiculous."
99,11887,negative,"@AmericanAir aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit Sunday. #nocareforcustomers"
100,13279,negative,@AmericanAir don't see response!
101,3544,negative,@united ^GJ I do believe that this is hands down the worst service I've EVER experienced. Makes @comcast look amazing. #UnitedAirlines
102,7927,neutral,@JetBlue my phone number when you have any news for me is (631)891-5722
103,5356,negative,"@SouthwestAir can't speak with customer service for 2hours, still on hold! Do you guys work?#nogood"
104,6234,neutral,@SouthwestAir lemme come to #DestinationDragons 😭😭😭 this university student could use a break from all these books.
105,1076,negative,"@United of urgency, but this is ridiculous. Your ceo claims to be customer focused, yet when delays happen, planes sit and customers are"
106,5693,neutral,@SouthwestAir @geekstiel Do you know when the last chance is?
107,2635,negative,@united tell me something I don't know...not #keepingit100 #weaktea
108,1381,negative,@united that's why I blame your company. Because it had every opportunity to do a job and managed to fail each time for just lazy reasons
109,4383,negative,@SouthwestAir are people in an exit row still supposed to give their verbal approvals? I was never asked on the flight I'm on...
110,12514,negative,@AmericanAir WORST SERVICE EVER!! Delayed flights for more than 5 hours plus you missed my bag! And your employees are rude 😡😡
111,10717,negative,@USAirways @AmericanAir I was supposed to get from fresno to pittsburgh by 10pm.  Instead I'm now not getting in until 4pm... tomorrow
112,587,negative,@united mobile apps need construction from the ground up for each OS category.  It's expensive to get right .
113,8187,neutral,"@JetBlue sorry for my misunderstanding of the term, but what does that exactly mean?"
114,1022,positive,"@united I will, as soon as I am done with my article.  Thanks!  ~Tom"
115,10278,neutral,@USAirways I think it's ok.
116,11222,negative,@usairways hey just letting you know you're the worst fucking service I've ever used thanks for nothing
117,11418,negative,"@USAirways the only way to assist, is to actually answer the phone."
118,9783,negative,@USAirways @AmericanAir USAIR #703 has returned to PHL due to issues with the fire detectors. What happens next?
119,12496,negative,@AmericanAir or at the very least an explanation on why no one told me my flight was Cancelled Flightled!
120,10569,negative,@USAirways why cant Sapphire members reach anyone on the phone?
121,11983,negative,"@AmericanAir said that AA does not provide in-flight wifi on the routes to China based on some federal laws, but United does, why is that?"
122,1622,negative,“@united: @rikrik__ What made you come to this? Can we help you with anything? ^JP” inconvience*
123,14243,negative,"@AmericanAir @Delta @JetBlue can you help? @SpiritAirlines is in the wrong, stuck in Florida 3days. They need to learn from real airlines."
124,13081,negative,"@AmericanAir ""bag has not yet been located"". Again, 5th time I've checked it. How can tracking my bag be this hard for your system?"
125,6482,negative,@SouthwestAir I know one thing @Delta would NEVER treat their customers like this!!!!
126,5440,negative,@SouthwestAir how often are airplane seats/tray tables cleaned and sanitized? rather have air purifier and clean seats than #wifi 😷😱
127,11452,negative,"@USAirways no, they could be at Laguardia, JFK or Charlotte. I have no idea where they are now tho"
128,9653,negative,@USAirways I can legitimately say that I would have rather driven cross country than flown on US Airways.
129,2941,positive,@united a big thanks to ^MN and ^KN or patiently clarifying the United domestic world to me.
130,14307,negative,@AmericanAir is rude a hiring requirement at key west airport shaking my head
131,6602,positive,@SouthwestAir finally got through. Thanks!
132,3760,negative,"@united, Thanks, but I didn't want to see 'we've started your flight search over' OR 'the fare &amp; rules for this itinerary has changed' again"
133,8927,negative,@JetBlue and they are telling me I got to get another hotel and food...so spend more money because you guys made me miss my connection
134,7839,negative,@JetBlue No changes made. My son's pass printed on same conf #. Just mine not print after I expressed disapptment w/ JetBlue
135,273,positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
136,653,negative,@united you have to follow me in order for me to DM...come on now
137,2720,negative,"@united Your ""Loyalty Team"" basically flipped me off via phone, but thanks. Maybe Google ""loyalty"" and get back to me? ^LOL"
138,5473,neutral,@SouthwestAir booked the 8th.... Save me an emergency exit... Gotta stretch out
139,3775,negative,@united get your act right! You just lost customers because your staff wouldn't let us take our approved carry-on on a half empty flight!
140,7395,neutral,@JetBlue flight 2008
141,13527,negative,"@AmericanAir @Active_Aly thx. We have already been on the iberia website, and seat reservation is unavailable. Hopefully we can call them."
142,2457,neutral,@united Yes. Luckily I was there.
143,7111,neutral,X____x RT @JetBlue: Our fleet's on fleek. http://t.co/Y39YzDpBvU
144,11745,negative,"@USAirways had a horrible experience flying from Montego Bay to Philadelphia on 2/11. $125 2check a golf bag, constant selling in-flight"
145,14404,negative,@AmericanAir pls help. This is seriously beyond ridiculous.
146,3099,negative,"@united Another unfortunate case of bad luck, usually maintenance issue. They are now swapping planes to ONT, will get in Late Flight. :("
147,3738,negative,"@united there was 20 min to departure, no one waiting. On being pressed ground staffer threatened ""do you want to get to SF today"" #fail"
148,6275,neutral,@SouthwestAir I've never met my favorite band and it would be sooo amazing to win destination dragons.
149,6201,positive,@SouthwestAir @taylormdowns We share that value in common. :)
150,1795,neutral,@united no thank you
151,3751,negative,"@united Flight was overbooked! Was offered voucher to wait &amp; take another flight. Gate agent switched me over, retracted voucher offer."
152,10084,negative,@USAirways  where's my bag?  In line 200 deep at DCA. Agents say call 800 #.  800# says talk to agents. Abysmal customer service
153,991,negative,"@united During the same round trip, my NON-English speaking friend was stranded TWICE for 12+ hours each time! Most staff members were rude."
154,2765,negative,"@united incompetent/rude service today. Missed my connecting flight, then the customer service desk was terrible to me. Really upset w untd."
155,8944,negative,@JetBlue busy due to storm but customer service should always be on point. More so now than ever #getittogether
156,10014,negative,@USAirways now you just hang up on me. I’m starting to think this is personal!
157,12489,neutral,@AmericanAir @Slacksoft_uk I saw an American 767 in old colours at @HeathrowAirport on Saturday! Was surprised to see!
158,11790,neutral,@USAirways  my flight was #3729...but I left my phone on the plane or the shuttle :(
159,13996,negative,@AmericanAir what happened?? We didn't get a notification about a departure Cancelled Flightation tomorrow. Why will it take 2 hrs to talk to someone
160,2650,negative,@united I hope so but I've received no help so far. I've been on hold for more than an hour. Can someone speak to me?
161,13146,positive,@AmericanAir exceptional customer service from AA - my misplaced item was waiting for me at checkin followed by a smooth flight. Thank you!
162,10150,negative,@USAirways my in-laws flight Cancelled Flighted 4 tonight. U auto rebooked 4 flight on Tuesday that doesn't work. Can you help reFlight Booking Problems them?
163,9695,negative,"@USAirways @AmericanAir have the most rude, unreliable, horrible company with equally rude, unreliable and horrible employees. Stay tuned."
164,2803,neutral,@united assume those benefits only apply to my own reservation. Any way my partner (on diff res) can use them? Can we combine res?
165,10676,negative,"@USAirways Made about 30 calls to USAir today to merge of AAdvantage, Dividend Miles. Each time, says call back Late Flightr. #30timesenough"
166,14182,negative,@AmericanAir you put a sour taste on this customer’s vacation. it was joke watching those “we care thanks for choosing us” videos
167,6255,neutral,“@SouthwestAir: @saysorrychris Can you follow back for a quick DM? ^SW”followed
168,2036,negative,"@united hey, it's 4am, guess what I'm doing? Not sleeping! Why? Cause you care so little about your customers you let them sleep in airports"
169,11533,positive,@USAirways still not in the air for deicing of plane. I'll miss connect but customer service was helpful.I'm hoping to catch the next flight
170,10901,negative,@USAirways your customer service is a nightmare. I have been on hold for 1 hour. I'm a platinum member with AA and feel like it's worthless
171,14391,positive,@AmericanAir AA2416 on time and awesome flight. Great job American!
172,9697,negative,"@USAirways flight #703 Philly -&gt; Mia? Bwahahaha! Delayed 5+ hrs, were in the air 30 mins then turned back around. #usairwaysfail"
173,8834,neutral,@JetBlue Call me when you do and we’ll have to hook up!
174,5244,negative,"@SouthwestAir really this is getting worse as the day goes on. Late Flight leaving then had to be diverted, and now sitting on the tarmac in VA."
175,6208,negative,"@SouthwestAir how do i know that my information is not found on other people's account?  I can see someone else's reservation, rr # and trip"
176,7632,negative,@JetBlue @fllairport best way to kill nine hours at the airport when all flights are full and the airline won't put you standby? #stranded
177,12040,negative,@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless
178,1628,negative,"@united we were told when we checked in, as soon as we were allowed to, that there are no other seats available on the plane except middle."
179,11513,positive,@USAirways YOU ARE THE BEST!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏
180,10593,negative,@usairways I've been on hold for approaching 2 hrs for an issue when I changed my ticket online. Frustrating.
181,2231,negative,@united And yet we still haven't left yet and I can't watch my pre-paid DirectTV. #firstworldproblems
182,8249,negative,@JetBlue :/ he was trying to take stuff from the under the seat in front of him and bugging out throughout the flight. Didn't feel safe.
183,12337,positive,@AmericanAir I wish I could remember all of their names!
184,13207,negative,@AmericanAir because your plane's toilet wasn't working and they needed gas. This is flight 1081 leaving Dulles going to LAX. Do some...
185,7317,positive,@JetBlue thanks for the quick response! Fingers crossed the plane gets here then
186,323,positive,@VirginAmerica How about some free drinks on the flight back for the free promo?
187,2113,negative,@united just DM'd
188,8640,positive,@JetBlue Flight Booking Problems flights for a DC visit for Easter weekend started difficult but ended well with you guys! Big fan here. :)
189,11432,neutral,"@USAirways Is it possible to earn Dividend Miles for a passenger that is not me, even if I am purchasing the tickets?"
190,13026,negative,@AmericanAir You lost a customer today. Flight today was Cancelled Flightled and I had to find out by calling customer service yesterday.
191,2538,negative,"@united It isnt simple issue, generally how you set up check in/baggage policies at Logan and general unhelpfulness of employees in early AM"
192,3441,negative,@united can you help from there? UA4935 can't take off without missing galley cart that no one can find. Pax all seated for last hour.
193,13818,negative,"@AmericanAir Thanks. Two hours to go inflight, then hotel.  Hang in there with all the DFW travel delays AA team."
194,1437,negative,"@united A very disappointing experience - plane mech. delay and next one didn't wait. No sincere apology, just told me to complain online"
195,896,neutral,@united Greetings. UA Club member here. Any idea if I can use the Air Canada Lounge at YVR. Flying UA tomorrow.
196,11736,positive,@USAirways thanks. 😒
197,8820,negative,@JetBlue @EllaHenderson the highlight of being delayed #freeconcert
198,2415,positive,@united They finally gave in a let him on. After they threatened to send him back to Vegas on coach. Thnx.
199,1288,negative,@united Making sure your flights aren't delayed due to poor maintenance would be a start.
200,2524,negative,"@united your ""Airserv"" contractors aren't worth a wet damn. 30min Late Flight, still not done w bags on UA1566. They made checkin a calamity."
201,11622,negative,@USAirways on hold for 1:23. All because they won't let me use a companion voucher online http://t.co/DPhQRgkdoA
202,841,negative,@united computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!
203,8730,negative,@JetBlue the gate agent said our original plane got de-icing fluid in the engine that created a short so they took the plane out of service
204,8250,positive,@JetBlue oh yes! I hope you expand to other airports soon so I can fly you to see my family each year!!!!
205,12972,negative,@AmericanAir @elwoodblues77 I'm sure he understands the rules but you guys just have zero customer service. Staff your damn counters!
206,4089,negative,@united also why can't I pre-select seats on SFO-&gt;YYZ flight? I'm a Canadian Flight Booking Problems on http://t.co/aZltJhf7lv.
207,8565,negative,@JetBlue can't change it. True blue points and I can't get to a phone
208,6938,positive,@JetBlue Gotcha... thanks for the update. I'm ready to go whenever you are :) Enjoy your evening.
209,13664,negative,@AmericanAir has to be the worst airline in the world #yousuck #horrible #Oscars2015
210,6801,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/b5ttno68xu” I just 🙈
211,10356,neutral,@USAirways what's going on with passengers diverted to CLT on FLL to PHL flight that left at 830 tonight?
212,8985,positive,@USAirways Well I did miss it. But gate agents had rebooked boarding pass waiting when I landed. Time for lunch &amp; a beverage. Easy cheesy
213,7982,neutral,@JetBlue Thank you.
214,1580,neutral,@united If an award is no longer showing available could it possible become available again?
215,2931,negative,"@united Once again I am victim to the scam that is your SHIT Customer Service, this time the agent hung up on me WTF do you teach your staff"
216,954,negative,"@united but if i tweet the ID number, won't that reveal my home address to anyone on the web?"
217,9976,negative,@USAirways is absolute crap this week!!
218,14556,positive,@AmericanAir Thank you.....you do the same!!
219,8467,positive,"@JetBlue The 13th Annual Martha's Vineyard African American Film Festival  August 10-15, 2015   Our attendees deserve a great flight to MV??"
220,9397,negative,@usairways im trying to get my dads wheelchair and no one is answering at Dulles.we have tried to call back on.multiple times
221,6153,neutral,@SouthwestAir I dunno my travel information.. like what?
222,14107,negative,@AmericanAir 24 hrs &amp; 2 cncld flights Late Flightr I've landed in PHL. Now 30 mins &amp; counting on tarmac waiting for gate. Pls do better than this.
223,13539,negative,"@AmericanAir Last thing I want to deal w/ before 8 on a Mon! I've already waited the suggested wait time, so I hope I get a call back ASAP."
224,4286,positive,@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!
225,10588,negative,@USAirways @franchise02 my friend has been on hold for 1.5 hours and still counting!
226,1816,negative,@united hold for 30 minutes finally got someone and they retook my form of payment and confirmed that my reservation was set. I tried to
227,12809,negative,@AmericanAir now a delay to the rebooked flight?!
228,4896,positive,@SouthwestAir That would be brighter than all the stars combined on the red carpet tonight!
229,4236,negative,@united with Karen and found her unhelpful and rude  called United at the time &amp; told she could board but Karen would not accept
230,2503,positive,@united Very impressed so far. An app that's worth a damn and sms updates on my flight.
231,5583,neutral,@SouthwestAir  is there a route to flight from Mexico City to Chicago midway using your services?
232,11337,negative,@USAirways  sitting on Tarmac in #PIT for 30 min. No announcement. Just sitting.
233,1359,negative,@united Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.)
234,3902,positive,"@united cool, thanks."
235,9023,negative,"@USAirways Forget reservations. Thank you to the great leadership at your company, I've Cancelled Flighted my flight. Once again, thank you."
236,1285,neutral,@united DM sent as requested. Make sure you follow back so you can DM me back. Thanks
237,11840,negative,@USAirways I didn't even leave the airport and you sent 2 of my bags to Philadelphia!
238,1770,negative,"@united It was Cancelled Flightled, none of the passengers were notified. Complete violation of travelers' rights.  @AerocivilCol"
239,6382,negative,"@SouthwestAir really enjoying sitting at BWI with the door wide open and the a/c on as they fix a ""baggage error"" #sarcasm"
240,4831,negative,@SouthwestAir A-list preferred. DEN-DAL flight Cancelled Flightled 30 min prior to boarding. Best option was Tue afternoon. Seriously?!? Epic fail.
241,11106,negative,@USAirways still in yuma waiting for 2702 to go. Looks like I might miss 2696 to MontereyRegionalAirport need options please
242,9424,negative,"@USAirways can I speak to a human with some compassion? I wrote an email to discuss my experience and received a generic ""sorry"" email back"
243,1267,positive,@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight
244,1391,negative,"@united Actually, the flight was just Cancelled Flightled! http://t.co/Qf0Oc2HqeZ"
245,6174,negative,"@SouthwestAir pls help me get this resolved &amp; reimbursement made.  gracias, rico; pls send me private msg with phone number or email address"
246,10677,negative,@USAirways fuck you.
247,649,negative,@united I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.
248,12024,positive,@AmericanAir @dfwairport you 2 together are the best part of flying!
249,12190,neutral,@AmericanAir I bet they do! I'm sure they have some form of wear and tear on their skin. I hope they will survive the rest of the winter xxx
250,2286,neutral,"@united hey, I missed my outbound flight - can I still use my return ticket?"
251,781,positive,@united you too!
252,9338,negative,@USAirways I have to fly back to Charlotte out of a different airport. You guys are not very flexible like other airlines.
253,12817,negative,@AmericanAir I tried site &amp; doesnt allow me. Same reason why I wasn't allowed to board this morning. Will try diff airline for work trips
254,735,positive,@united you are one great airline ❤️
255,4985,negative,.@SouthwestAir thx for the note. Flight was Cancelled Flightled and today is all booked so had to go with another carrier. :(
256,8932,neutral,"@JetBlue unfortunately no, but hoping I can catch one sometime in the near future!"
257,3043,negative,@united My guess:flight is going to be Cancelled Flightled because there are 16 empty seats and those who confirmed are not important. #frustrated
258,7974,negative,"@JetBlue flight1407, it's been a long day! Arrived from London at 11 this morning"
259,8746,positive,@JetBlue I just wanted to say flight attendant fitz was the best tonight on flight #1326 bwi/Bos. Great guy and made the flight fantastic!
260,13030,negative,@AmericanAir unacceptable. It's clear losing just one customer doesn't matter to American but how many more bankruptcies will it take
261,715,negative,@united Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told I'd have it back yesterday!
262,49,neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
263,11451,negative,@USAirways your agent did not say
264,13248,negative,@AmericanAir She could even see that I had tried to make the transaction but wouldn't offer me the price I'd tried to purchase it at.
265,2467,negative,"@united no announcement re extra baggage, ""find an empty bin"" down to aisle 20 back up with baggage to my seat row 7. YOUR agents argueing"
266,4758,negative,@southwestair does anyone realize that banning peanuts on a flight due to an allergic person ignores p-nut oil &amp; dust from previous flights?
267,11042,negative,"@USAirways I already did. My question is, why does it still say in progress on @AskPayPal? It's been 6 days."
268,6681,negative,@SouthwestAir @challemann flying to LGA in the dead of winter? #jvstatus EWR &amp; JFK is always the intelligent option.
269,14289,neutral,@AmericanAir check your dm pls
270,6834,neutral,@JetBlue Offering Special Fares to @GoPureGrenada @discovergrenada http://t.co/MBcEhCSZX3 @CaribbeJan @islandexpert http://t.co/2Zm4jkAlZl
271,6485,negative,@SouthwestAir I have had 4 flights Cancelled Flightled through yall!!!! Im sick of it 😠😠
272,3247,neutral,@united in Bogota with no wallet is no fun. :-(
273,3104,negative,@united has happened on other airlines and they've given out flight vouchers and been more transparent about the problems.
274,2023,negative,@united you Cancelled Flightled my flight without notification?
275,14623,positive,@AmericanAir Love the new planes for the JFK-LAX run.  Maybe one day I will be on one where the amenities all function.  #NoCharge #Ever
276,9508,neutral,@USAirways Will you pick up your phone then?
277,449,negative,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1)
278,12127,negative,@AmericanAir pretty lame response to a two paged single spaced letter http://t.co/aCebo6ELPa
279,12765,positive,"@AmericanAir @maryella_green just received it, actually. Thank you!!!!!!!!!"
280,3533,negative,@united error message said couldn't process request at the last step after seat selection on each leg. Agent was unaware of an (1 of 2)
281,7835,neutral,@jetblue @viraltech creates institutional quality machine driven JetBlue Revenue predictive analytics and forecasts using public Big Data ;)
282,4580,negative,@SouthwestAir hasn't evennotified us that theflight isdelayed via email/text/phone call.If we wererunning Late Flight I would be pissed #unreliable
283,5643,neutral,@SouthwestAir's CEO Kelly draws record crowd to @BWI_Airport Business Partnership breakfast http://t.co/hrvuKtpvn1 http://t.co/MY3dnVBZAZ
284,9400,negative,@USAirways US 728/Feb 21. Arrive 7 hrs Late Flight; checked car seat missing. No replacement available. Has yet to arrive more than 24 hours Late Flightr.
285,1415,positive,@united Worked like a charm. Bag was waiting on the carousel when we got to baggage claim. #welldone #goodflight #friendlysky
286,11247,negative,@USAirways cardholder is flying.  We both have us airways and advantage cards which is more frustrating.
